# Data from Ladson, NASA TM 4074, 1988
# Re=6 million, with transition tripped
# M=0.15
# variables="alpha, deg","cl","cd"
# zone, t="80 grit"
# from: http://turbmodels.larc.nasa.gov/naca0012_val.html
-4.04  -.4417  .00871
-2.14  -.2385  .00800
-.05   -.0126  .00809
2.05    .2125  .00816
4.04    .4316  .00823
6.09    .6546  .00885
8.30    .8873  .01050
10.12  1.0707  .01201
11.13  1.1685  .01239
12.12  1.2605  .01332
13.08  1.3455  .01503
14.22  1.4365  .01625
15.26  1.5129  .01900
16.30  1.5739  .02218
17.13  1.6116  .02560
18.02   .9967  .18785
19.08  1.1358  .27292
# zone, t="120 grit"
-4.01  -.4466  .00843
-2.12  -.2425  .00789
-.01   -.0120  .00811
.01    -.0122  .00804
2.15    .2236  .00823
4.11    .4397  .00879
6.01    .6487  .00842
8.08    .8701  .00995
10.10  1.0775  .01175
11.23  1.1849  .01248
12.13  1.2720  .01282
13.26  1.3699  .01408
14.30  1.4571  .01628
15.27  1.5280  .01790
16.16  1.5838  .02093
17.24  1.6347  .02519
18.18  1.1886  .25194
19.25  1.1888  .28015
# zone, t="180 grit"
-3.99  -.4363  .00871
-1.98  -.2213  .00792
-.03   -.0115  .00803
.04    -.0013  .00811
2.00    .2213  .00814
4.06    .4365  .00814
6.09    .6558  .00851
8.09    .8689  .00985
10.18  1.0809  .01165
11.13  1.1731  .01247
12.10  1.2644  .01299
13.31  1.3676  .01408
14.08  1.4316  .01533
15.24  1.5169  .01870
16.33  1.5855  .02186
17.13  1.6219  .02513
18.21  1.0104  .25899
19.27  1.0664  .43446
